               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,           0.0090062,            0.003634,                   0,             0.99383,             0.96567,              0.9872,             0.84098,            0.012354,           0.0043788,                   0,             0.00616,             0.00616,             0.00616
                  66,           0.0088342,            0.003469,                   0,             0.99584,             0.95676,             0.98352,             0.83155,            0.013119,           0.0048611,                   0,              0.0061,              0.0061,              0.0061
                  67,           0.0090017,           0.0036116,                   0,             0.99172,             0.95774,             0.98303,             0.83469,            0.013253,           0.0047437,                   0,             0.00604,             0.00604,             0.00604
                  68,           0.0088245,           0.0035738,                   0,             0.99687,             0.95535,             0.97979,             0.82243,            0.012821,            0.005022,                   0,             0.00598,             0.00598,             0.00598
                  69,            0.008799,           0.0035433,                   0,             0.99491,             0.97203,             0.99182,               0.833,            0.013119,           0.0040445,                   0,             0.00592,             0.00592,             0.00592
                  70,           0.0089293,           0.0034947,                   0,             0.99587,             0.96339,             0.98856,             0.81754,            0.013452,           0.0043819,                   0,             0.00586,             0.00586,             0.00586
                  71,           0.0090823,           0.0036066,                   0,             0.99381,             0.96217,             0.98712,             0.82712,            0.013581,           0.0045125,                   0,              0.0058,              0.0058,              0.0058
                  72,            0.008833,           0.0033642,                   0,             0.99587,             0.96368,             0.99006,             0.85637,            0.012611,           0.0040777,                   0,             0.00574,             0.00574,             0.00574
                  73,           0.0086566,           0.0033591,                   0,             0.99604,             0.95005,             0.97915,             0.82728,            0.013487,           0.0050888,                   0,             0.00568,             0.00568,             0.00568
                  74,           0.0086673,           0.0033985,                   0,             0.99581,             0.94902,             0.98062,             0.83803,            0.012862,           0.0049438,                   0,             0.00562,             0.00562,             0.00562
                  75,           0.0086687,           0.0033603,                   0,             0.99397,             0.95005,             0.98084,             0.83711,            0.012897,           0.0047794,                   0,             0.00556,             0.00556,             0.00556
                  76,            0.008443,           0.0034061,                   0,             0.99479,              0.9535,             0.98197,             0.83992,            0.012864,           0.0047717,                   0,              0.0055,              0.0055,              0.0055
                  77,           0.0087293,           0.0035499,                   0,             0.99793,             0.96212,             0.98929,              0.8306,            0.013074,           0.0045031,                   0,             0.00544,             0.00544,             0.00544
                  78,           0.0086335,           0.0034768,                   0,             0.99652,             0.96304,             0.98713,             0.84211,            0.012264,           0.0044176,                   0,             0.00538,             0.00538,             0.00538
                  79,           0.0085845,            0.003323,                   0,             0.99689,             0.96213,             0.98755,             0.82856,            0.012519,           0.0045354,                   0,             0.00532,             0.00532,             0.00532
                  80,           0.0087934,           0.0036101,                   0,             0.99583,             0.95531,             0.98076,             0.82719,            0.012584,           0.0049375,                   0,             0.00526,             0.00526,             0.00526
                  81,           0.0085446,           0.0034439,                   0,             0.99896,                0.96,             0.98261,             0.83577,            0.012449,           0.0047792,                   0,              0.0052,              0.0052,              0.0052
